state	yr	qtr	index_nsa	index_sa	note
AK	2000	3	141.46	140.55	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	4	141.81	142.25	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	1	144.48	145.50	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	2	148.56	147.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	3	151.93	150.95	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	4	152.99	153.43	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	1	153.83	154.89	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	2	159.13	158.18	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	3	162.18	161.08	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	4	162.16	162.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	1	166.55	167.78	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	2	169.02	168.04	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	3	172.21	170.99	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	4	175.37	175.74	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	1	178.00	179.47	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	2	184.27	183.16	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	3	188.78	187.33	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	4	192.58	192.89	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	1	197.73	199.81	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	2	204.08	202.60	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	3	211.69	209.91	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	4	214.21	214.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	1	216.59	219.28	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	2	224.93	223.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	3	227.47	225.41	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	4	226.86	227.09	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	1	227.12	230.49	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	2	234.89	232.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	3	234.06	231.80	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	4	229.79	230.09	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	1	221.91	225.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	2	231.50	229.26	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	3	232.40	230.04	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	4	225.66	225.95	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	1	229.95	233.72	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	2	227.79	225.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	3	226.65	224.28	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	4	226.47	226.98	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	1	221.91	225.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	2	229.77	227.35	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	3	230.78	228.31	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	4	226.74	227.40	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	1	227.26	230.97	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	2	227.83	225.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	3	229.20	226.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	4	225.63	226.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	1	223.36	226.91	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	2	234.34	231.64	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	3	233.61	230.65	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	4	232.73	234.09	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	1	232.54	236.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	2	241.42	238.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	3	240.38	237.06	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	4	235.81	237.47	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	1	234.40	238.39	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	2	245.50	242.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	3	252.22	248.55	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2014	4	245.20	247.00	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	1	248.05	252.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	2	255.12	251.85	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	3	259.65	255.77	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2015	4	257.77	259.78	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2016	1	257.35	261.85	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AL	1991	1	100.00	100.00	
AL	1991	2	101.51	101.20	
AL	1991	3	102.33	101.59	
AL	1991	4	103.32	102.80	
AL	1992	1	104.31	104.29	
AL	1992	2	105.00	104.69	
AL	1992	3	106.50	105.74	
AL	1992	4	108.09	107.57	
AL	1993	1	107.64	107.58	
AL	1993	2	109.88	109.55	
AL	1993	3	111.75	110.95	
AL	1993	4	112.59	112.08	
AL	1994	1	114.22	114.13	
AL	1994	2	115.84	115.50	
AL	1994	3	117.40	116.55	
AL	1994	4	119.14	118.64	
AL	1995	1	120.33	120.19	
AL	1995	2	121.57	121.23	
AL	1995	3	122.38	121.48	
AL	1995	4	122.43	121.92	
AL	1996	1	122.79	122.67	
AL	1996	2	125.80	125.43	
AL	1996	3	127.26	126.33	
AL	1996	4	128.52	127.97	
AL	1997	1	129.53	129.42	
AL	1997	2	130.13	129.74	
AL	1997	3	132.05	131.12	
AL	1997	4	132.52	131.92	
AL	1998	1	132.49	132.39	
AL	1998	2	134.69	134.25	
AL	1998	3	136.76	135.85	
AL	1998	4	138.06	137.41	
AL	1999	1	138.45	138.36	
AL	1999	2	140.81	140.29	
AL	1999	3	141.70	140.83	
AL	1999	4	143.48	142.81	
AL	2000	1	145.25	145.15	
AL	2000	2	145.93	145.33	
AL	2000	3	147.35	146.49	
AL	2000	4	148.03	147.34	
AL	2001	1	149.02	148.93	
AL	2001	2	150.34	149.68	
AL	2001	3	150.99	150.10	
AL	2001	4	152.34	151.67	
AL	2002	1	152.11	152.02	
AL	2002	2	153.94	153.25	
AL	2002	3	154.62	153.66	
AL	2002	4	155.63	154.98	
AL	2003	1	157.18	157.14	
AL	2003	2	159.29	158.54	
AL	2003	3	161.58	160.51	
AL	2003	4	162.23	161.57	
AL	2004	1	161.03	161.06	
AL	2004	2	164.60	163.77	
AL	2004	3	168.61	167.42	
AL	2004	4	170.65	170.00	
AL	2005	1	173.47	173.63	
AL	2005	2	177.69	176.72	
AL	2005	3	180.98	179.59	
AL	2005	4	183.84	183.17	
AL	2006	1	187.45	187.87	
AL	2006	2	190.58	189.35	
AL	2006	3	191.50	189.96	
AL	2006	4	192.91	192.14	
AL	2007	1	191.44	192.26	
AL	2007	2	193.17	191.60	
AL	2007	3	192.70	191.17	
AL	2007	4	189.85	189.00	
AL	2008	1	187.00	188.20	
AL	2008	2	186.96	185.14	
AL	2008	3	183.82	182.37	
AL	2008	4	178.70	177.85	
AL	2009	1	171.83	173.23	
AL	2009	2	175.20	173.25	
AL	2009	3	173.53	172.18	
AL	2009	4	171.66	170.78	
AL	2010	1	163.87	165.41	
AL	2010	2	164.56	162.64	
AL	2010	3	158.12	156.80	
AL	2010	4	155.41	154.66	
AL	2011	1	153.38	154.91	
AL	2011	2	155.40	153.56	
AL	2011	3	154.20	152.81	
AL	2011	4	151.98	151.33	
AL	2012	1	152.69	154.22	
AL	2012	2	150.59	148.84	
AL	2012	3	152.11	150.54	
AL	2012	4	156.69	156.20	
AL	2013	1	150.93	152.38	
AL	2013	2	155.02	153.25	
AL	2013	3	158.16	156.41	
AL	2013	4	154.64	154.25	
AL	2014	1	154.52	156.00	
AL	2014	2	159.41	157.60	
AL	2014	3	161.08	159.19	
AL	2014	4	161.07	160.79	
AL	2015	1	160.55	162.10	
AL	2015	2	166.07	164.12	
AL	2015	3	165.24	163.30	
AL	2015	4	164.62	164.38	
AL	2016	1	163.44	165.00	
AR	1991	1	100.00	100.00	
AR	1991	2	100.88	100.27	
AR	1991	3	102.05	101.63	
AR	1991	4	103.70	103.29	
AR	1992	1	104.07	104.04	
AR	1992	2	103.30	102.67	
AR	1992	3	105.31	104.86	
AR	1992	4	106.29	105.92	
AR	1993	1	106.56	106.51	
AR	1993	2	109.76	109.09	
AR	1993	3	110.85	110.33	
AR	1993	4	112.06	111.75	
AR	1994	1	114.16	114.07	
AR	1994	2	116.16	115.46	
AR	1994	3	116.68	116.07	
AR	1994	4	117.68	117.46	
AR	1995	1	119.24	119.08	
AR	1995	2	121.00	120.28	
AR	1995	3	123.17	122.50	
AR	1995	4	123.83	123.69	
AR	1996	1	125.34	125.10	
AR	1996	2	126.77	126.05	
AR	1996	3	126.67	125.93	
AR	1996	4	127.92	127.81	
AR	1997	1	127.91	127.62	
AR	1997	2	128.83	128.15	
AR	1997	3	130.17	129.42	
AR	1997	4	130.06	129.93	
AR	1998	1	130.86	130.54	
AR	1998	2	132.01	131.36	
AR	1998	3	132.87	132.11	
AR	1998	4	133.76	133.58	
AR	1999	1	135.76	135.42	
AR	1999	2	137.04	136.41	
AR	1999	3	137.65	136.85	
AR	1999	4	137.91	137.70	
AR	2000	1	138.77	138.41	
AR	2000	2	141.72	141.17	
AR	2000	3	141.06	140.16	
AR	2000	4	143.11	142.87	
AR	2001	1	144.59	144.22	
AR	2001	2	145.58	145.10	
AR	2001	3	147.39	146.38	
AR	2001	4	148.18	147.90	
AR	2002	1	149.14	148.77	
AR	2002	2	150.63	150.22	
AR	2002	3	153.51	152.38	
AR	2002	4	153.65	153.29	
AR	2003	1	156.19	155.87	
AR	2003	2	158.23	157.83	
AR	2003	3	161.42	160.20	
AR	2003	4	161.58	161.16	
AR	2004	1	165.52	165.26	
AR	2004	2	168.68	168.20	
AR	2004	3	172.33	171.01	
AR	2004	4	175.16	174.68	
AR	2005	1	176.89	176.71	
AR	2005	2	179.85	179.26	
AR	2005	3	183.93	182.47	
AR	2005	4	187.30	186.84	
AR	2006	1	188.56	188.48	
AR	2006	2	191.60	190.90	
AR	2006	3	194.03	192.36	
AR	2006	4	195.00	194.59	
AR	2007	1	195.51	195.63	
AR	2007	2	197.13	196.29	
AR	2007	3	196.73	194.84	
AR	2007	4	194.53	194.24	
AR	2008	1	193.61	193.95	
AR	2008	2	191.56	190.61	
AR	2008	3	190.45	188.42	
AR	2008	4	183.94	183.79	
AR	2009	1	181.89	182.47	
AR	2009	2	182.60	181.51	
AR	2009	3	184.02	181.89	
AR	2009	4	181.80	181.78	
AR	2010	1	175.86	176.63	
AR	2010	2	180.70	179.38	
AR	2010	3	177.32	175.17	
AR	2010	4	174.38	174.50	
AR	2011	1	172.83	173.81	
AR	2011	2	170.96	169.42	
AR	2011	3	175.14	172.98	
AR	2011	4	173.94	174.23	
AR	2012	1	174.58	175.71	
AR	2012	2	179.94	178.05	
AR	2012	3	181.11	178.84	
AR	2012	4	180.08	180.56	
AR	2013	1	181.41	182.65	
AR	2013	2	184.37	182.25	
AR	2013	3	184.20	181.84	
AR	2013	4	180.84	181.48	
AR	2014	1	183.87	185.11	
AR	2014	2	186.80	184.58	
AR	2014	3	190.17	187.69	
AR	2014	4	187.49	188.24	
AR	2015	1	187.25	188.52	
AR	2015	2	192.96	190.65	
AR	2015	3	195.09	192.52	
AR	2015	4	193.90	194.69	
AR	2016	1	195.01	196.34	
AZ	1991	1	100.00	100.00	
AZ	1991	2	99.73	99.76	
AZ	1991	3	101.07	100.41	
AZ	1991	4	101.59	101.31	
AZ	1992	1	101.30	101.31	
AZ	1992	2	101.52	101.52	
AZ	1992	3	103.03	102.37	
AZ	1992	4	103.30	103.02	
AZ	1993	1	104.26	104.29	
AZ	1993	2	105.41	105.35	
AZ	1993	3	107.25	106.60	
AZ	1993	4	108.09	107.83	
AZ	1994	1	109.34	109.37	
AZ	1994	2	112.06	111.92	
AZ	1994	3	114.58	113.94	
AZ	1994	4	116.48	116.22	
AZ	1995	1	118.00	118.02	
AZ	1995	2	119.89	119.66	
AZ	1995	3	121.68	121.07	
AZ	1995	4	123.08	122.81	
AZ	1996	1	124.68	124.69	
AZ	1996	2	126.42	126.11	
AZ	1996	3	128.44	127.89	
AZ	1996	4	128.92	128.63	
AZ	1997	1	130.10	130.11	
AZ	1997	2	131.57	131.20	
AZ	1997	3	132.95	132.44	
AZ	1997	4	134.62	134.30	
AZ	1998	1	136.01	136.04	
AZ	1998	2	138.43	137.99	
AZ	1998	3	140.53	140.03	
AZ	1998	4	142.63	142.26	
AZ	1999	1	144.25	144.34	
AZ	1999	2	147.25	146.73	
AZ	1999	3	149.67	149.16	
AZ	1999	4	152.23	151.81	
AZ	2000	1	154.80	154.97	
AZ	2000	2	157.77	157.16	
AZ	2000	3	159.71	159.14	
AZ	2000	4	161.81	161.33	
AZ	2001	1	163.23	163.48	
AZ	2001	2	166.62	165.97	
AZ	2001	3	168.82	168.14	
AZ	2001	4	170.98	170.48	
AZ	2002	1	172.17	172.54	
AZ	2002	2	175.68	174.99	
AZ	2002	3	178.57	177.73	
AZ	2002	4	180.32	179.80	
AZ	2003	1	183.22	183.75	
AZ	2003	2	187.41	186.67	
AZ	2003	3	190.88	189.81	
AZ	2003	4	195.44	194.94	
AZ	2004	1	199.89	200.62	
AZ	2004	2	208.33	207.50	
AZ	2004	3	219.44	217.97	
AZ	2004	4	232.68	232.14	
AZ	2005	1	249.43	250.57	
AZ	2005	2	274.76	273.73	
AZ	2005	3	299.03	296.63	
AZ	2005	4	311.60	310.82	
AZ	2006	1	319.90	321.83	
AZ	2006	2	326.89	325.81	
AZ	2006	3	326.71	323.58	
AZ	2006	4	322.53	321.52	
AZ	2007	1	316.38	318.87	
AZ	2007	2	308.60	307.59	
AZ	2007	3	296.14	293.02	
AZ	2007	4	276.34	275.30	
AZ	2008	1	254.11	256.48	
AZ	2008	2	238.26	237.40	
AZ	2008	3	220.51	218.14	
AZ	2008	4	197.76	196.94	
AZ	2009	1	176.10	177.90	
AZ	2009	2	170.07	169.27	
AZ	2009	3	171.95	170.20	
AZ	2009	4	171.77	171.13	
AZ	2010	1	166.88	168.57	
AZ	2010	2	166.66	165.69	
AZ	2010	3	160.61	159.13	
AZ	2010	4	155.36	154.94	
AZ	2011	1	150.98	152.36	
AZ	2011	2	151.41	150.30	
AZ	2011	3	151.46	150.26	
AZ	2011	4	154.51	154.33	
AZ	2012	1	160.36	161.52	
AZ	2012	2	171.69	170.31	
AZ	2012	3	179.57	178.31	
AZ	2012	4	185.89	185.94	
AZ	2013	1	193.07	194.13	
AZ	2013	2	203.22	201.56	
AZ	2013	3	209.67	208.28	
AZ	2013	4	213.58	213.84	
AZ	2014	1	216.86	217.78	
AZ	2014	2	221.79	220.10	
AZ	2014	3	224.48	222.96	
AZ	2014	4	225.89	226.22	
AZ	2015	1	229.97	230.83	
AZ	2015	2	236.54	234.84	
AZ	2015	3	241.45	239.80	
AZ	2015	4	243.82	244.18	
AZ	2016	1	247.91	248.76	
CA	1991	1	100.00	100.00	
CA	1991	2	100.37	99.63	
CA	1991	3	100.44	99.45	
CA	1991	4	99.82	99.22	
CA	1992	1	98.41	98.42	
CA	1992	2	97.30	96.57	
CA	1992	3	97.00	96.04	
CA	1992	4	95.14	94.58	
CA	1993	1	93.13	93.14	
CA	1993	2	92.48	91.77	
CA	1993	3	91.30	90.38	
CA	1993	4	90.05	89.56	
CA	1994	1	88.51	88.52	
CA	1994	2	89.50	88.78	
CA	1994	3	89.27	88.36	
CA	1994	4	88.54	88.10	
CA	1995	1	87.65	87.65	
CA	1995	2	87.95	87.22	
CA	1995	3	87.79	86.90	
CA	1995	4	86.85	86.46	
CA	1996	1	86.38	86.37	
CA	1996	2	86.82	86.05	
CA	1996	3	87.09	86.22	
CA	1996	4	86.69	86.34	
CA	1997	1	86.74	86.71	
CA	1997	2	88.14	87.33	
CA	1997	3	89.27	88.39	
CA	1997	4	90.14	89.81	
CA	1998	1	91.71	91.66	
CA	1998	2	94.64	93.76	
CA	1998	3	96.63	95.69	
CA	1998	4	98.25	97.90	
CA	1999	1	100.01	99.96	
CA	1999	2	103.99	103.01	
CA	1999	3	105.68	104.63	
CA	1999	4	108.05	107.66	
CA	2000	1	111.54	111.54	
CA	2000	2	116.51	115.41	
CA	2000	3	120.32	119.07	
CA	2000	4	124.18	123.73	
CA	2001	1	127.25	127.32	
CA	2001	2	130.82	129.61	
CA	2001	3	134.02	132.53	
CA	2001	4	135.59	135.07	
CA	2002	1	139.49	139.65	
CA	2002	2	147.02	145.72	
CA	2002	3	153.69	151.84	
CA	2002	4	158.49	157.88	
CA	2003	1	162.79	163.06	
CA	2003	2	170.95	169.47	
CA	2003	3	179.58	177.33	
CA	2003	4	188.04	187.27	
CA	2004	1	198.04	198.47	
CA	2004	2	213.72	211.96	
CA	2004	3	227.49	224.53	
CA	2004	4	236.89	235.79	
CA	2005	1	247.96	248.67	
CA	2005	2	262.15	260.11	
CA	2005	3	274.44	270.72	
CA	2005	4	280.25	278.71	
CA	2006	1	282.78	283.81	
CA	2006	2	285.32	283.34	
CA	2006	3	283.15	279.09	
CA	2006	4	277.65	275.82	
CA	2007	1	269.80	271.13	
CA	2007	2	260.47	258.76	
CA	2007	3	247.26	243.59	
CA	2007	4	225.87	224.17	
CA	2008	1	202.41	203.65	
CA	2008	2	188.20	186.98	
CA	2008	3	175.88	173.20	
CA	2008	4	162.52	161.21	
CA	2009	1	151.18	152.28	
CA	2009	2	149.25	148.17	
CA	2009	3	151.89	149.59	
CA	2009	4	152.88	151.69	
CA	2010	1	150.75	151.91	
CA	2010	2	153.13	151.86	
CA	2010	3	150.34	148.10	
CA	2010	4	147.16	146.13	
CA	2011	1	144.00	145.10	
CA	2011	2	144.72	143.31	
CA	2011	3	144.31	142.26	
CA	2011	4	143.10	142.27	
CA	2012	1	142.83	143.81	
CA	2012	2	149.46	147.84	
CA	2012	3	154.53	152.42	
CA	2012	4	159.88	159.13	
CA	2013	1	165.97	167.00	
CA	2013	2	177.61	175.52	
CA	2013	3	186.36	183.92	
CA	2013	4	191.14	190.43	
CA	2014	1	194.51	195.55	
CA	2014	2	202.05	199.63	
CA	2014	3	206.47	203.83	
CA	2014	4	208.91	208.24	
CA	2015	1	212.31	213.31	
CA	2015	2	220.42	217.76	
CA	2015	3	224.20	221.39	
CA	2015	4	226.46	225.80	
CA	2016	1	230.29	231.25	
CO	1991	1	100.00	100.00	
CO	1991	2	100.61	99.83	
CO	1991	3	102.06	101.06	
CO	1991	4	103.33	103.04	
CO	1992	1	104.67	104.70	
CO	1992	2	107.83	106.96	
CO	1992	3	110.18	109.10	
CO	1992	4	112.38	112.07	
CO	1993	1	114.64	114.71	
CO	1993	2	119.67	118.63	
CO	1993	3	124.13	122.94	
CO	1993	4	126.89	126.55	
CO	1994	1	130.43	130.53	
CO	1994	2	135.40	134.16	
CO	1994	3	138.13	136.82	
CO	1994	4	140.03	139.72	
CO	1995	1	142.11	142.18	
CO	1995	2	147.20	145.80	
CO	1995	3	150.05	148.68	
CO	1995	4	150.88	150.56	
CO	1996	1	153.28	153.30	
CO	1996	2	156.47	154.99	
CO	1996	3	158.00	156.60	
CO	1996	4	159.94	159.63	
CO	1997	1	161.86	161.78	
CO	1997	2	164.83	163.30	
CO	1997	3	167.14	165.73	
CO	1997	4	167.98	167.61	
CO	1998	1	171.65	171.50	
CO	1998	2	175.92	174.37	
CO	1998	3	179.37	177.87	
CO	1998	4	182.23	181.79	
CO	1999	1	186.01	185.80	
CO	1999	2	192.82	191.17	
CO	1999	3	198.42	196.81	
CO	1999	4	202.72	202.13	
CO	2000	1	208.36	208.14	
CO	2000	2	216.09	214.32	
CO	2000	3	221.80	220.00	
CO	2000	4	227.51	226.74	
CO	2001	1	232.67	232.45	
CO	2001	2	238.14	236.23	
CO	2001	3	242.14	240.24	
CO	2001	4	243.42	242.46	
CO	2002	1	245.02	244.84	
CO	2002	2	249.85	247.90	
CO	2002	3	251.93	249.93	
CO	2002	4	252.93	251.87	
CO	2003	1	252.76	252.68	
CO	2003	2	254.84	252.82	
CO	2003	3	256.62	254.48	
CO	2003	4	258.47	257.37	
CO	2004	1	259.33	259.50	
CO	2004	2	263.25	261.07	
CO	2004	3	265.13	262.64	
CO	2004	4	267.22	266.19	
CO	2005	1	269.29	269.87	
CO	2005	2	275.11	272.65	
CO	2005	3	277.16	274.10	
CO	2005	4	279.51	278.61	
CO	2006	1	280.75	281.96	
CO	2006	2	285.28	282.44	
CO	2006	3	286.85	283.12	
CO	2006	4	284.35	283.64	
CO	2007	1	281.48	283.35	
CO	2007	2	284.71	281.56	
CO	2007	3	281.84	277.71	
CO	2007	4	271.37	270.78	
CO	2008	1	262.67	265.01	
CO	2008	2	262.93	259.78	
CO	2008	3	259.02	254.88	
CO	2008	4	248.77	248.27	
CO	2009	1	243.17	245.72	
CO	2009	2	252.03	248.80	
CO	2009	3	255.47	251.28	
CO	2009	4	253.85	253.30	
CO	2010	1	249.46	252.31	
CO	2010	2	255.21	251.74	
CO	2010	3	249.28	245.24	
CO	2010	4	244.07	243.56	
CO	2011	1	237.92	240.56	
CO	2011	2	242.59	239.16	
CO	2011	3	245.34	241.59	
CO	2011	4	243.16	242.72	
CO	2012	1	244.39	246.87	
CO	2012	2	256.38	252.68	
CO	2012	3	261.07	257.25	
CO	2012	4	265.22	265.03	
CO	2013	1	266.45	268.67	
CO	2013	2	279.23	275.12	
CO	2013	3	284.93	281.02	
CO	2013	4	286.07	286.21	
CO	2014	1	291.24	293.22	
CO	2014	2	302.28	297.74	
CO	2014	3	308.93	304.82	
CO	2014	4	312.82	313.35	
CO	2015	1	320.62	322.27	
CO	2015	2	335.55	330.47	
CO	2015	3	342.05	337.68	
CO	2015	4	343.69	344.51	
CO	2016	1	353.35	354.79	
CT	1991	1	100.00	100.00	
CT	1991	2	97.50	97.75	
CT	1991	3	97.74	97.04	
CT	1991	4	96.32	96.64	
CT	1992	1	96.76	96.94	
CT	1992	2	95.66	95.79	
CT	1992	3	94.33	93.65	
CT	1992	4	94.58	94.81	
CT	1993	1	91.61	92.02	
CT	1993	2	92.27	92.24	
CT	1993	3	92.56	91.87	
CT	1993	4	91.82	91.98	
CT	1994	1	91.07	91.73	
CT	1994	2	92.02	91.83	
CT	1994	3	92.42	91.68	
CT	1994	4	91.10	91.25	
CT	1995	1	90.56	91.39	
CT	1995	2	91.42	91.12	
CT	1995	3	92.10	91.33	
CT	1995	4	91.56	91.72	
CT	1996	1	90.62	91.57	
CT	1996	2	92.70	92.31	
CT	1996	3	93.41	92.59	
CT	1996	4	92.35	92.54	
