state	yr	qtr	index_nsa	index_sa	Warning
AK	2006	2	218.55	215.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	3	220	217.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	4	218.93	219.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	1	220.92	222.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	2	229.1	226.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	3	226.56	224.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	4	221.6	221.9	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	1	217.26	219.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	2	226.1	223.12	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	3	223.26	220.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	4	224.32	224.48	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	1	223.38	225.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	2	218.68	215.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	3	216.96	214.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	4	215.44	215.61	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	1	212.74	214.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	2	222	219.5	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	3	226	222.76	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	4	219.74	219.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	1	222.17	224.86	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	2	225.69	223.27	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	3	227.83	224.2	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	4	223.16	223.25	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	1	215.44	218.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	2	227.09	224.7	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	3	231.37	227.61	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	4	228.33	228.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	1	227.14	230.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	2	234.75	232.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	3	234.21	230.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	4	231.89	231.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	1	227.75	231.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	2	236	233.37	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	3	241.38	237.96	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	4	242.78	241.86	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	1	241.37	245.08	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	2	249.12	246.36	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	3	249.83	246.48	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	4	249.96	248.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	1	244.88	248.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL	1991	1	100	100	
AL	1991	2	101.56	101.22	
AL	1991	3	102.71	101.99	
AL	1991	4	103.31	102.72	
AL	1992	1	104.32	104.32	
AL	1992	2	104.6	104.23	
AL	1992	3	106.96	106.21	
AL	1992	4	108.47	107.88	
AL	1993	1	108.98	108.98	
AL	1993	2	110.09	109.65	
AL	1993	3	112.21	111.43	
AL	1993	4	113.3	112.76	
AL	1994	1	114.09	114.05	
AL	1994	2	116.36	115.85	
AL	1994	3	117.19	116.37	
AL	1994	4	117.95	117.48	
AL	1995	1	118.47	118.4	
AL	1995	2	119.69	119.06	
AL	1995	3	121.56	120.76	
AL	1995	4	121.92	121.52	
AL	1996	1	122.88	122.75	
AL	1996	2	125.24	124.51	
AL	1996	3	125.85	125.07	
AL	1996	4	126.76	126.43	
AL	1997	1	127.83	127.63	
AL	1997	2	128.4	127.57	
AL	1997	3	129.92	129.2	
AL	1997	4	129.74	129.45	
AL	1998	1	130.99	130.71	
AL	1998	2	132.99	132.1	
AL	1998	3	134.28	133.59	
AL	1998	4	135.65	135.39	
AL	1999	1	136.55	136.21	
AL	1999	2	138.21	137.24	
AL	1999	3	138.77	138.11	
AL	1999	4	139.86	139.6	
AL	2000	1	141.32	140.96	
AL	2000	2	142.65	141.66	
AL	2000	3	142.94	142.22	
AL	2000	4	143.05	142.78	
AL	2001	1	144.46	144.13	
AL	2001	2	146.46	145.47	
AL	2001	3	147.13	146.3	
AL	2001	4	147.6	147.34	
AL	2002	1	148.92	148.65	
AL	2002	2	150.66	149.68	
AL	2002	3	151.69	150.7	
AL	2002	4	153.49	153.25	
AL	2003	1	154.38	154.18	
AL	2003	2	156.86	155.86	
AL	2003	3	159.84	158.66	
AL	2003	4	159.37	159.14	
AL	2004	1	160.49	160.4	
AL	2004	2	163.86	162.77	
AL	2004	3	167.78	166.46	
AL	2004	4	168.64	168.44	
AL	2005	1	171.66	171.7	
AL	2005	2	175.6	174.3	
AL	2005	3	179.49	177.97	
AL	2005	4	182.91	182.82	
AL	2006	1	187.25	187.43	
AL	2006	2	192.48	190.9	
AL	2006	3	195.45	193.69	
AL	2006	4	196.56	196.56	
AL	2007	1	198.13	198.51	
AL	2007	2	202.81	201.02	
AL	2007	3	202.83	200.75	
AL	2007	4	200.77	200.93	
AL	2008	1	198.93	199.55	
AL	2008	2	199.5	197.66	
AL	2008	3	196.74	194.37	
AL	2008	4	191.99	192.3	
AL	2009	1	192.54	193.43	
AL	2009	2	193.75	191.83	
AL	2009	3	189.18	186.63	
AL	2009	4	193.64	194.12	
AL	2010	1	183.68	184.75	
AL	2010	2	183.69	181.74	
AL	2010	3	183.44	180.82	
AL	2010	4	175	175.5	
AL	2011	1	171.13	172.28	
AL	2011	2	173.23	171.27	
AL	2011	3	175.05	172.55	
AL	2011	4	172.19	172.69	
AL	2012	1	174.47	175.7	
AL	2012	2	180.81	178.67	
AL	2012	3	178.24	175.76	
AL	2012	4	178.89	179.43	
AL	2013	1	178.77	179.96	
AL	2013	2	184.07	181.81	
AL	2013	3	186.96	184.56	
AL	2013	4	184.98	185.49	
AL	2014	1	185.3	186.41	
AL	2014	2	188.34	186.05	
AL	2014	3	190.49	188.16	
AL	2014	4	193.27	193.8	
AL	2015	1	189.95	190.93	
AL	2015	2	198.6	196.3	
AL	2015	3	199.38	196.98	
AL	2015	4	195.75	196.24	
AL	2016	1	197.07	198.03	
AR	1991	1	100	100	
AR	1991	2	100.62	100.34	
AR	1991	3	101.85	101.56	
AR	1991	4	103.02	102.97	
AR	1992	1	102.89	102.9	
AR	1992	2	104.02	103.7	
AR	1992	3	105.1	104.82	
AR	1992	4	105.79	105.75	
AR	1993	1	107.56	107.57	
AR	1993	2	109.72	109.36	
AR	1993	3	111.78	111.49	
AR	1993	4	111.69	111.66	
AR	1994	1	115.36	115.37	
AR	1994	2	116.7	116.31	
AR	1994	3	117.18	116.89	
AR	1994	4	119.6	119.57	
AR	1995	1	119.24	119.27	
AR	1995	2	121.56	121.12	
AR	1995	3	123.29	122.98	
AR	1995	4	123.61	123.59	
AR	1996	1	124.46	124.5	
AR	1996	2	126.02	125.54	
AR	1996	3	125.57	125.25	
AR	1996	4	126.2	126.2	
AR	1997	1	127.37	127.43	
AR	1997	2	128.37	127.84	
AR	1997	3	128.72	128.39	
AR	1997	4	129.29	129.29	
AR	1998	1	129.77	129.85	
AR	1998	2	130.04	129.51	
AR	1998	3	132.76	132.38	
AR	1998	4	132.83	132.85	
AR	1999	1	134.03	134.14	
AR	1999	2	135.71	135.16	
AR	1999	3	136.57	136.15	
AR	1999	4	137.36	137.38	
AR	2000	1	137.39	137.52	
AR	2000	2	140.22	139.69	
AR	2000	3	140.62	140.12	
AR	2000	4	141.38	141.4	
AR	2001	1	142.96	143.13	
AR	2001	2	144.09	143.59	
AR	2001	3	146.02	145.45	
AR	2001	4	146.25	146.22	
AR	2002	1	147.39	147.64	
AR	2002	2	150.53	150.03	
AR	2002	3	151.78	151.12	
AR	2002	4	152.88	152.79	
AR	2003	1	154.66	155.05	
AR	2003	2	157.41	156.87	
AR	2003	3	160.84	160.07	
AR	2003	4	161.66	161.56	
AR	2004	1	164.75	165.24	
AR	2004	2	168.09	167.5	
AR	2004	3	170.98	170.1	
AR	2004	4	173.28	173.19	
AR	2005	1	175.42	176.01	
AR	2005	2	178.8	178.1	
AR	2005	3	182.76	181.81	
AR	2005	4	185.76	185.76	
AR	2006	1	187.16	187.69	
AR	2006	2	190.63	189.87	
AR	2006	3	192.61	191.66	
AR	2006	4	193.2	193.28	
AR	2007	1	192.24	192.72	
AR	2007	2	195.88	194.99	
AR	2007	3	195.99	195.11	
AR	2007	4	194.26	194.52	
AR	2008	1	190.04	190.31	
AR	2008	2	190	189.13	
AR	2008	3	189.47	188.61	
AR	2008	4	185.5	185.95	
AR	2009	1	184.29	184.42	
AR	2009	2	185.3	184.36	
AR	2009	3	185.21	184.35	
AR	2009	4	188.77	189.52	
AR	2010	1	178.13	178.07	
AR	2010	2	184.28	183.32	
AR	2010	3	178.52	177.63	
AR	2010	4	174.98	175.89	
AR	2011	1	178.63	178.43	
AR	2011	2	174.83	173.88	
AR	2011	3	177.02	176.12	
AR	2011	4	178.63	179.72	
AR	2012	1	179.3	179.01	
AR	2012	2	184.02	182.97	
AR	2012	3	183.51	182.59	
AR	2012	4	181.08	182.31	
AR	2013	1	188.62	188.21	
AR	2013	2	187.87	186.78	
AR	2013	3	189.25	188.3	
AR	2013	4	184.8	186.16	
AR	2014	1	190.19	189.71	
AR	2014	2	191.29	190.21	
AR	2014	3	192.96	191.93	
AR	2014	4	195.14	196.61	
AR	2015	1	190.55	190.1	
AR	2015	2	197.01	195.91	
AR	2015	3	200.37	199.18	
AR	2015	4	199	200.54	
AR	2016	1	200.37	199.98	
AZ	1991	1	100	100	
AZ	1991	2	100.46	100.38	
AZ	1991	3	99.2	99.35	
AZ	1991	4	101.98	101.4	
AZ	1992	1	102.13	102.16	
AZ	1992	2	101.46	101.38	
AZ	1992	3	102.59	102.69	
AZ	1992	4	103.64	103.11	
AZ	1993	1	104.05	104.1	
AZ	1993	2	105.3	105.22	
AZ	1993	3	106.66	106.64	
AZ	1993	4	109.09	108.64	
AZ	1994	1	109.79	109.88	
AZ	1994	2	112.41	112.29	
AZ	1994	3	113.91	113.74	
AZ	1994	4	116.18	115.84	
AZ	1995	1	117.17	117.34	
AZ	1995	2	118.55	118.35	
AZ	1995	3	120.73	120.41	
AZ	1995	4	121.53	121.35	
AZ	1996	1	123.07	123.28	
AZ	1996	2	124.73	124.44	
AZ	1996	3	126.05	125.6	
AZ	1996	4	126.14	126.14	
AZ	1997	1	127.19	127.4	
AZ	1997	2	129.21	128.83	
AZ	1997	3	130.42	129.92	
AZ	1997	4	131.05	131.16	
AZ	1998	1	132.21	132.4	
AZ	1998	2	135.36	134.9	
AZ	1998	3	137.38	136.89	
AZ	1998	4	138.41	138.54	
AZ	1999	1	140.63	140.83	
AZ	1999	2	143.16	142.6	
AZ	1999	3	145.53	145.12	
AZ	1999	4	147.01	147.08	
AZ	2000	1	149.22	149.41	
AZ	2000	2	151.89	151.29	
AZ	2000	3	153.2	152.87	
AZ	2000	4	155.69	155.69	
AZ	2001	1	157.81	158.01	
AZ	2001	2	161.12	160.51	
AZ	2001	3	162.77	162.43	
AZ	2001	4	165.78	165.72	
AZ	2002	1	166.7	166.97	
AZ	2002	2	170.23	169.61	
AZ	2002	3	172.97	172.5	
AZ	2002	4	176.46	176.46	
AZ	2003	1	179.48	179.87	
AZ	2003	2	183.68	182.97	
AZ	2003	3	187.49	186.76	
AZ	2003	4	192.8	192.98	
AZ	2004	1	198.74	199.29	
AZ	2004	2	206.74	205.89	
AZ	2004	3	217.52	216.31	
AZ	2004	4	228.64	229.26	
AZ	2005	1	244.23	244.99	
AZ	2005	2	269.91	268.62	
AZ	2005	3	291.63	289.56	
AZ	2005	4	302.88	304.31	
AZ	2006	1	314.3	315.31	
AZ	2006	2	321.13	319.45	
AZ	2006	3	317.35	314.63	
AZ	2006	4	318.81	320.89	
AZ	2007	1	318.14	319.17	
AZ	2007	2	315.63	313.76	
AZ	2007	3	309.61	306.75	
AZ	2007	4	289.37	291.66	
AZ	2008	1	276.2	276.94	
AZ	2008	2	263.36	261.85	
AZ	2008	3	244.72	242.31	
AZ	2008	4	223.54	225.42	
AZ	2009	1	215.65	216.23	
AZ	2009	2	204.02	202.87	
AZ	2009	3	201.7	199.64	
AZ	2009	4	195.63	197.27	
AZ	2010	1	191.03	191.59	
AZ	2010	2	188.31	187.31	
AZ	2010	3	181.01	179.15	
AZ	2010	4	169.9	171.12	
AZ	2011	1	167.51	168.2	
AZ	2011	2	163.76	162.86	
AZ	2011	3	165.54	163.92	
AZ	2011	4	166.96	167.94	
AZ	2012	1	173.18	174.02	
AZ	2012	2	185.11	184.13	
AZ	2012	3	195.73	193.93	
AZ	2012	4	199.34	200.15	
AZ	2013	1	205.07	206.28	
AZ	2013	2	218.28	217.12	
AZ	2013	3	224.25	222.32	
AZ	2013	4	229.8	230.46	
AZ	2014	1	231.92	233.41	
AZ	2014	2	236.03	234.78	
AZ	2014	3	238.93	237.04	
AZ	2014	4	240.15	240.53	
AZ	2015	1	244.2	245.9	
AZ	2015	2	251.94	250.55	
AZ	2015	3	258.33	256.44	
AZ	2015	4	260.71	261.02	
AZ	2016	1	262.28	264.07	
CA	1991	1	100	100	
CA	1991	2	99.64	99.23	
CA	1991	3	99.54	98.86	
CA	1991	4	99.69	99.23	
CA	1992	1	99.03	99.04	
CA	1992	2	98.01	97.6	
CA	1992	3	97.74	97.03	
CA	1992	4	95.95	95.55	
CA	1993	1	93.69	93.7	
CA	1993	2	92.95	92.56	
CA	1993	3	91.47	90.74	
CA	1993	4	90.25	89.94	
CA	1994	1	88.81	88.85	
CA	1994	2	88.56	88.15	
CA	1994	3	88.38	87.63	
CA	1994	4	86.97	86.76	
CA	1995	1	86.2	86.25	
CA	1995	2	86.05	85.58	
CA	1995	3	86.24	85.48	
CA	1995	4	85.17	85.05	
CA	1996	1	84.99	85.04	
CA	1996	2	85.13	84.58	
CA	1996	3	85.45	84.71	
CA	1996	4	85.25	85.21	
CA	1997	1	84.76	84.79	
CA	1997	2	86.9	86.27	
CA	1997	3	88.1	87.37	
CA	1997	4	88.93	88.93	
CA	1998	1	90.93	90.95	
CA	1998	2	94.43	93.67	
CA	1998	3	96.47	95.72	
CA	1998	4	98.06	98.07	
CA	1999	1	100.58	100.6	
CA	1999	2	103.8	102.94	
CA	1999	3	106.15	105.35	
CA	1999	4	108.34	108.34	
CA	2000	1	111.72	111.76	
CA	2000	2	116.1	115.16	
CA	2000	3	119.88	118.94	
CA	2000	4	123.83	123.79	
CA	2001	1	127.97	128.06	
CA	2001	2	132.52	131.51	
CA	2001	3	135.53	134.35	
CA	2001	4	138.07	138	
CA	2002	1	142.4	142.59	
CA	2002	2	149.86	148.79	
CA	2002	3	157.18	155.64	
CA	2002	4	161.76	161.69	
CA	2003	1	167.51	167.88	
CA	2003	2	175.06	173.82	
CA	2003	3	182.96	180.97	
CA	2003	4	191.71	191.7	
CA	2004	1	201.02	201.62	
CA	2004	2	215.56	213.95	
CA	2004	3	230.82	228.19	
CA	2004	4	240	240.05	
CA	2005	1	251.63	252.55	
CA	2005	2	267.43	265.31	
CA	2005	3	280.64	277.34	
CA	2005	4	283.98	284.05	
CA	2006	1	285.82	287.09	
CA	2006	2	287.57	285.2	
CA	2006	3	282.43	279.07	
CA	2006	4	274.18	274.08	
CA	2007	1	271.89	273.37	
CA	2007	2	269.01	266.72	
CA	2007	3	255.57	252.53	
CA	2007	4	234.92	234.64	
CA	2008	1	212.83	214.21	
CA	2008	2	196.02	194.35	
CA	2008	3	183.95	181.76	
CA	2008	4	171.92	171.53	
CA	2009	1	164.06	165.28	
CA	2009	2	164.54	163.15	
CA	2009	3	167.97	165.94	
CA	2009	4	168.57	168.09	
CA	2010	1	166.72	168.09	
CA	2010	2	168.44	167.01	
CA	2010	3	165.54	163.48	
CA	2010	4	160.61	160.18	
CA	2011	1	155.01	156.31	
CA	2011	2	154.73	153.34	
CA	2011	3	154.63	152.71	
CA	2011	4	153.44	153.15	
CA	2012	1	154.05	155.25	
CA	2012	2	161.86	160.33	
CA	2012	3	165.31	163.3	
CA	2012	4	171.33	171.18	
CA	2013	1	178.79	180.02	
CA	2013	2	192	190.13	
CA	2013	3	201.1	198.76	
CA	2013	4	203.37	203.34	
CA	2014	1	206.95	208.15	
CA	2014	2	213.55	211.45	
CA	2014	3	217.74	215.31	
CA	2014	4	219.26	219.31	
CA	2015	1	222.82	223.92	
CA	2015	2	229.79	227.55	
CA	2015	3	233.53	231.05	
CA	2015	4	235.9	235.97	
CA	2016	1	239.14	240.17	
CO	1991	1	100	100	
CO	1991	2	101.02	100.11	
CO	1991	3	102.3	101.15	
CO	1991	4	103.17	103.01	
CO	1992	1	105.38	105.39	
CO	1992	2	108.86	107.89	
CO	1992	3	111.05	109.8	
CO	1992	4	113.72	113.54	
CO	1993	1	115.71	115.74	
CO	1993	2	120.5	119.4	
CO	1993	3	125.16	123.76	
CO	1993	4	128.14	127.92	
CO	1994	1	131.97	132.03	
CO	1994	2	137.04	135.76	
CO	1994	3	139.82	138.28	
CO	1994	4	140.49	140.23	
CO	1995	1	141.96	142.03	
CO	1995	2	145.03	143.64	
CO	1995	3	147.76	146.2	
CO	1995	4	148.61	148.32	
CO	1996	1	150.08	150.12	
CO	1996	2	153.53	152.05	
CO	1996	3	155.15	153.57	
CO	1996	4	156.28	155.99	
CO	1997	1	157.35	157.32	
CO	1997	2	160.81	159.25	
CO	1997	3	162.8	161.2	
CO	1997	4	163.76	163.51	
CO	1998	1	166.24	166.11	
CO	1998	2	170.38	168.72	
CO	1998	3	173.34	171.66	
CO	1998	4	175.99	175.82	
CO	1999	1	179.92	179.66	
CO	1999	2	186.32	184.49	
CO	1999	3	192.42	190.58	
CO	1999	4	194.66	194.55	
CO	2000	1	200.62	200.26	
CO	2000	2	207.61	205.57	
CO	2000	3	213.65	211.58	
CO	2000	4	217.31	217.25	
CO	2001	1	224.07	223.7	
CO	2001	2	229.26	226.94	
CO	2001	3	231.04	228.77	
CO	2001	4	230.65	230.61	
CO	2002	1	234.44	234.19	
CO	2002	2	237.28	234.75	
CO	2002	3	239.92	237.54	
CO	2002	4	240.04	239.98	
CO	2003	1	240.76	240.72	
CO	2003	2	244.14	241.35	
CO	2003	3	245.34	242.9	
CO	2003	4	245.14	245	
CO	2004	1	247.04	247.33	
CO	2004	2	254.25	251.1	
CO	2004	3	256.27	253.67	
CO	2004	4	255.2	255.01	
CO	2005	1	259.24	259.96	
CO	2005	2	266.03	262.39	
CO	2005	3	268.27	265.43	
CO	2005	4	270.76	270.73	
CO	2006	1	270.98	272.07	
CO	2006	2	277.07	272.88	
CO	2006	3	277.13	274.03	
CO	2006	4	277.1	277.38	
CO	2007	1	276.14	277.5	
CO	2007	2	281.89	277.22	
CO	2007	3	280.08	276.84	
CO	2007	4	272.84	273.4	
CO	2008	1	268.03	269.52	
CO	2008	2	273.74	268.97	
CO	2008	3	268.65	265.29	
CO	2008	4	258.46	259.21	
CO	2009	1	262.21	264	
CO	2009	2	269.36	264.36	
CO	2009	3	268.75	265.19	
CO	2009	4	263.99	264.87	
CO	2010	1	264.57	266.77	
CO	2010	2	267.63	262.42	
CO	2010	3	260.98	257.3	
CO	2010	4	260.42	261.35	
CO	2011	1	252.42	254.92	
CO	2011	2	258.42	253.08	
CO	2011	3	260.73	257.07	
CO	2011	4	254.8	255.68	
CO	2012	1	255.22	257.96	
CO	2012	2	272.8	267	
CO	2012	3	277.05	273.04	
CO	2012	4	278.66	279.88	
CO	2013	1	280.7	283.64	
CO	2013	2	298.3	291.76	
CO	2013	3	303.37	299.03	
CO	2013	4	304.3	306.1	
CO	2014	1	308.1	310.81	
CO	2014	2	324.09	317	
CO	2014	3	326	321.36	
CO	2014	4	329.11	331.7	
CO	2015	1	344.9	347.12	
CO	2015	2	359.78	351.96	
CO	2015	3	367.53	362.52	
CO	2015	4	364.1	367.42	
CO	2016	1	376.66	378.32	
CT	1991	1	100	100	
CT	1991	2	97.84	98.03	
CT	1991	3	97.08	96.21	
CT	1991	4	96.52	95.82	
CT	1992	1	97.29	97.37	
CT	1992	2	95.2	95.36	
CT	1992	3	95.03	94.1	
CT	1992	4	96.02	95.34	
CT	1993	1	92.41	92.62	
CT	1993	2	91.64	91.71	
CT	1993	3	92.37	91.36	
CT	1993	4	91.96	91.39	
CT	1994	1	91.21	91.56	
CT	1994	2	91.9	91.82	
CT	1994	3	92.86	91.75	
CT	1994	4	91.85	91.43	
CT	1995	1	90.38	90.84	
CT	1995	2	90.71	90.42	
CT	1995	3	91.87	90.74	
CT	1995	4	91.04	90.78	
CT	1996	1	90.73	91.26	
CT	1996	2	91.94	91.44	
CT	1996	3	91.99	90.89	
CT	1996	4	90.92	90.77	
CT	1997	1	90.74	91.31	
CT	1997	2	92.73	92.05	
CT	1997	3	93.55	92.48	
CT	1997	4	93.4	93.3	
CT	1998	1	93.45	94.06	
CT	1998	2	96.37	95.57	
CT	1998	3	98.62	97.53	
CT	1998	4	99.7	99.63	
CT	1999	1	101.27	101.93	
CT	1999	2	104.68	103.79	
CT	1999	3	107.05	105.84	
CT	1999	4	108.26	108.17	
CT	2000	1	110.09	110.88	
CT	2000	2	114.61	113.63	
CT	2000	3	116.69	115.34	
CT	2000	4	118.1	117.94	
CT	2001	1	120.12	121.08	
CT	2001	2	124.93	123.94	
CT	2001	3	129.23	127.6	
CT	2001	4	130.56	130.3	
CT	2002	1	132.02	133.26	
